"MutantVarietyID","Variety Name","Local Name","Local Registration Year","Local Registration Number","Local Registration Agency","National Registration Number","National Registration Agency","Latin Name","Common Name","Country Name","Short Description","Miscellaneous","Character Improvement Details","Registration","PropagationModeType","UsageSubcategory","MutantDevelopmentType","Intellectual Property","Mutagen Treatment Type","Physical Mutagen","Chemical Mutagen","Treatment Material Type","Continent Name"
"661","092","","1966","","","","","Triticum aestivum L.","Wheat","China","The mutant variety 092 was officialy approved in 1966. It was developed by irradiation with gamma rays (200 Gy). Main improved attributes of mutant variety are early maturity, higher yield, stripe and stem rust resistance, resistance to lodging.","","Early maturity, higher yield, stripe and stem rust resistance, resistance to lodging.","1966","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"312","113","","1985","","","","","Gossypium L.","Cotton","China","The mutant variety 113 was officialy approved in 1985. It was developed by irradiation of seeds with gamma rays (350 Gy). Main improved attributes of mutant variety are early maturity, better quality, suitable for sowing in summer.","","Early maturity, better quality, suitable for sowing in summer","1985","Seed - Self pollination","Fibre crop","Direct development of an induced mutant","","Physical","Gamma rays","","Seed","Asia"
"662","1161","","1966","","","","","Triticum aestivum L.","Wheat","China","The mutant variety 1161 was officialy approved in 1966. It was developed by irradiation with gamma rays (300 Gy). Main improved attributes of mutant variety are resistence to low temperature and resistance to stripe rust.","","Resistence to low temperature and resistance to stripe rust","1966","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"761","1870","1870","1984","","","","","Oryza sativa L.","Rice","China","The mutant variety 1870 was officialy approved in 1984. It was developed by irradiation with gamma rays (200 Gy). Main improved attributes of mutant variety are improved maturity and high grain yield.","","Improved maturity and high grain yield","1984","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"607","202","","1973","","","","","Oryza sativa L.","Rice","China","The mutant variety 202 was officialy approved in 1973. It was developed by irradiation of seeds with gamma rays (200 Gy). Main improved attributes of mutant variety are small leaves, large panicle and tolerance to drought.","","Small leaves, large panicle and tolerance to drought","1973","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"608","240","","1980","","","","","Oryza sativa L.","Rice","China","The mutant variety 240 was officialy approved in 1980. It was developed by irradiation of seeds with gamma rays (300 Gy). Main improved attributes of mutant variety are early maturity and resistance to diseases.","","Early maturity and resistance to diseases","1980","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"690","352","352","1983","","","","","Triticum aestivum L.","Wheat","China","The mutant variety 352 was officialy approved in 1973. It was developed by treatment with laser. Main improved attributes of mutant variety are early maturity, tolerance to Gibberella zeae and high yield.","","Early maturity, tolerance to Gibberella zeae and high yield","1983","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Lasers","","","Asia"
"691","503","","1975","","","","","Triticum aestivum L.","Wheat","China","The mutant variety 503 was officialy approved in 1975. It was developed by irradiation of seeds with gamma rays (300 Gy). Main improved attributes of mutant variety are good tillering, resistance to low temperatures, resistance to rust, suitable for mountain areas.","","Good tillering, resistance to low temperatures, resistance to rust, suitable for mountain areas","1975","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"1425","6 B","","1986","","","","","Oryza sativa L.","Rice","Viet Nam","The mutant variety 6 B was officialy approved in 1986. It was developed by hybridization with one mutant variety Atomita 2 induced by irradiation of seeds with gamma rays (200 Gy). Main improved attributes of variety are high yield (20%), larger panicle, higher TGW, better than both parents in tolerance to salinity.","","High yield (20%), larger panicle, higher TGW, better than both parents in tolerance to salinity","1986","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays","","Seed","Asia"
"666","62-10","62-10","1985","","","","","Triticum aestivum L.","Wheat","China","The mutant variety 62-10 was officialy approved in 1985. It was developed by treatment with fast neutrons. Main improved attributes of mutant variety are resistance to stripe rust and shorter culm.","","Resistance to stripe rust and shorter culm","1985","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Neutrons - fast neutrons","","","Asia"
"665","62-8","62-8","1985","","","","","Triticum aestivum L.","Wheat","China","The mutant variety 62-8 was officialy approved in 1985. It was developed by treatment with fast neutrons. Main improved attributes of mutant variety are resistance to stripe rust and early maturity.","","Resistance to stripe rust and early maturity","1985","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Neutrons - fast neutrons","","","Asia"
"631","652","","1979","","","","","Oryza sativa L.","Rice","China","The mutant variety 652 was officialy approved in 1979. It was developed by irradiation of hybrid seeds with gamma rays (300 Gy). Main improved attributes of variety are resistance to fungal diseases and improved growth habits.","","Resistance to fungal diseases and improved growth habits","1979","Seed - Self pollination","Cereals","Mutagenic treatment of breeding material (F1, F2, seeds, ect)","","Physical","Gamma rays","","Seed","Asia"
"609","69-280","","1969","","","","","Oryza sativa L.","Rice","China","The mutant variety 69-280 was officialy approved in 1969. It was developed by irradiation of seeds with gamma rays (300 Gy). Main improved attributes of mutant variety are short culm, good stature, more effective tillers.","","Short culm, good stature and more effective tillers","1969","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","Seed","Asia"
"620","7404","","1977","","","","","Oryza sativa L.","Rice","China","The mutant variety 7404 was officialy approved in 1977. It was developed by irradiation of seeds with gamma rays (350 Gy). Main improved attributes of variety are short culm, resistance to lodging, higher yield, resistance to bacterial blight and blast.","","Short culm, resistance to lodging, higher yield, resistance to bacterial blight and blast","1977","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","Seed","Asia"
"689","77 L15","77 L15","1983","","","","","Triticum aestivum L.","Wheat","China","The mutant variety 77 L15 was officialy approved in 1983. It was developed by treatment of F1 generation (Zhengyin 1 x Shangjian) with laser. Main improved attributes of mutant variety are strong culm, resistance to lodging, resistance to stripe, leaf and stem rust, tolerance to Gibberella zeae, large spike, good appearance at maturity stage.","","Strong culm, resistance to lodging, resistance to stripe, leaf and stem rust, tolerance to Gibberella zeae, large spike, good appearance at maturity stage","1983","Seed - Self pollination","Cereals","Mutagenic treatment of breeding material (F1, F2, seeds, ect)","","Physical","Lasers","","","Asia"
"582","7738","","1980","","","","","Oryza sativa L.","Rice","China","The mutant variety 7738 was officially approved in 1980. It was developed by irradiation with gamma rays (300 Gy). Main improved attributes of mutant variety are early maturity, higher yield, resistance to diseases and resistance to plant hopper.","","Early maturity, higher yield, resistance to diseases and resistance to plant hopper","1980","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"844","78 A","78 A","1986","","","","","Triticum aestivum L.","Wheat","China","The mutant variety 78 A was officialy approved in 1986. It was developed by irradiation with gamma rays (250 Gy). Main improved attributes of mutant variety are high grain yield and good quality.","","High grain yield and good quality","1986","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"1489","78961","78961","1988","","","","","Arachis hypogaea L.","Groundnut","China","The mutant variety 78961 was officialy approved in 1988. It was developed by hybridization with two mutants obtained by irradiation of seeds with gamma rays (240 Gy). Main improved attributes of mutant variety are early maturity, reduced plant height, high yield and good quality.","本课题筛选出适于外贸出口、适于春播、麦套、夏直播配套系列的新品种;早熟大花生鲁花9号、中熟大花生鲁花10号、早熟小花生鲁花3号和特早熟小花生“78961”;并研究提出与品种相适应的高产栽培技术;阐明栽培技术措施对出口品质有一定影响。","Early maturity, reduced plant height, high yield and good quality","1988","Seed - Self pollination","Legume and Pulses","Crossing of two mutants","","Physical","Gamma rays","","Seed","Asia"
"867","7938","7938","1984","","","","","Hordeum vulgare L.","Barley","China","","","","1984","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"1510","8130","8130","1988","","","","","Arachis hypogaea L.","Groundnut","China","The mutant variety 8130 was officialy approved in 1993. It was developed by hybridization with mutant BP1 obtained by irradiation of with gamma rays (250 Gy). Main improved attributes of mutant variety are good taste, high yield and marketing quality.","8130是农科院花生所选育的高产出口大花生新品种，1998年经省农作物品种审定委员会认定推广，是""九五""《国家科技重点推广计划》惟一的花生品种。1998年获山东省科技进步二等奖。","Good taste, high yield and marketing quality","1988","Seed - Self pollination","Legume and Pulses","Crossing with one mutant","","Physical","Gamma rays","","","Asia"
"2285","91-C3-15","91-C3-15","1999","","","","","Ipomoea batatas (L.) Lam.","Sweetpotato","China","The mutant variety 91-C3-15 was officialy approved in 1999. It was developed by irradiation of in vitro culture with gamma rays (5 Gy). Main improved attributes are high yield and good quality.","建立了获得突变株的离体培养和辐射系统:(1)由甘薯茎在含有NAA 1mg/L, IAA 2mg/L和BA 0.01mg/L的MS培养基上诱导愈伤组织;(2)用5Gy γ-射线辐照愈伤组织;(3)经辐照的愈伤组织在含有IAA 2mg/L和KT 2mg/L的1/2 MS 培养基上诱导突变株.从茎愈伤组织获得774株突变二代(M1V2)植株,并对各种性状进行观察,在这774株M1V2植株中选出了适合食品加工的突变株91-C3-15.  Horticultural Research Institute, Shanghai Academy of Agricultural Science, 3000 Beidi Road, Shanghai, China, P.O. Box 201106","High yield and good quality","1999","Vegetative - Rhizomes","Root and tuber crops","Direct development of an induced mutant","","Physical","Gamma rays","","In vitro culture","Asia"
"1430","A-20","","1990","","","","","Oryza sativa L.","Rice","Viet Nam","The mutant variety A-20 was officialy approved in 1990. It was developed by hybridization with two mutant induced by treatment of seeds with 0.015% MNH. Main improved attributes of mutant variety are early maturity and high tolerance to salinity.","","Early maturity and high tolerance to salinity","1990","Seed - Self pollination","Cereals","Crossing of two mutants","","Chemical","","Methyl Nitrosohydantoin","Seed","Asia"
"1338","A-201","","1996","PI 592740","CCRRF, CA Agric Exp Sta, and USDA-ARS","","","Oryza sativa L.","Rice","United States","The mutant variety A-201 was officialy approved in 1996. It was developed by hybridization with mutant obtained by irradiation of sees with gamma rays. Main improved attributes of mutant variety are aromatic rice, semidwarfness, long grain size. Mutant variety from the cross L-202/PI 457920//-202. Its semidwarf gene comes from PI 457920, a semidwarf mutant of Basmati 370.","","Aromatic rice, semidwarfness and long grain size","1997","Seed - Self pollination","Cereals","Crossing with one mutant","Protected under U. S. Plant Variety Protection Act, Title 5 option.","Physical","Gamma rays","","Seed","North America"
"1727","Abasin-95","","1995","","","","","Brassica napus L.","Rapeseed","Pakistan","The mutant variety Abasin-95 was officialy approved in 1995. It was developed by irradiation with gamma rays (1400 Gy). Main improved attributes of mutant variety are high yield, early maturity and high adaptibility.","","High yield, early maturity and high adaptibility","1995","Seed - Open-pollinating","Edible oil plants","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"4998","Abbas Mung","Abbas Mung","","","","","Federal Seed Certification & Registration Department (FSC & RD)","Vigna radiata (L.) R.Wilczek","Mungbean","Pakistan","","Hectares of cultivation: 65000 hectares. This variety is very famous among farmers. •	Year of mutagenic treatment:          2006 •	Hectares of cultivation: 65000 hectares •	Notes: This variety is very famous among farmers.","Wider adaptability, Resistance against MYMD and ULCV, Resistance to lodging","2021","Seed - Self pollination","","","","Physical","","","Seed","Asia"
"4451","ABHIMANYU","","","","","","C S I R – NATIONAL BOTANICAL RESEARCH INSTITUTE, Lucknow (UP), India","Bougainvillea Comm. ex Juss.","Paper flower","India","Paper flower variety Abhimanyu was derived from a spontaneous mutation on a bud of Arjuna, a gamma ray induced mutant of bougainvillea cultivar Partha. Abhimanyu has a variegation pattern entirely different from Arjuna, and also has a high multiplication rate.","","IT IS A SPONTANEOUS MUTANT DETECTED AS A MERICLINAL CHIMERA IN A VERY OLD AND INJURED PLANT OF GAMMA RAY INDUCED MUTANT ARJUNA. THE SPONTANEOUS MUTANT HAS BEEN ISOLATED IN PURE FORM BY AIR LAYERING METHOD AND RELEASED AS NEW CULTIVAR IN THE NAME ABHIMANYU. SPROUTING AND SURVIVAL PERCENTAGE OF STEM CUTTINGS ARE HIGHER THAN ARJUNA. MULTIPLICATION RATE IS VERY HIGH IN COMPARISON TO ARJUNA.","2010","Vegetative - Cuttings","Ornamental plant","Vegetative tissue isolated from a chimeric mutant","","","","","","Asia"
"1746","Abhisarika H.T.","","1975","","","","","Rosa L.","Rose","India","The mutant variety Abhisarika H.T. was officialy approved in 1975. It was developed by irradiation of buds with gamma rays (75 Gy). Main improved attributes of mutant variety are pink stripes on a lemon yellow colored base of petals.","","Pink stripes on a lemon yellow colored base of petals","1975","Vegetative - Budding and grafting","Flowers","Direct development of an induced mutant","","Physical","Gamma rays","","Vegetative propagates","Asia"
"3236","Above","","","","","","","Triticum aestivum L.","Wheat","United States","The mutant variety Above was developed by treatment with sodium azide (NaN3). Mutant variety Above is an awned, white-glumed, early maturing, and semidwarf hard red winter wheat.","The mutant variety Above was developed by treatment with sodium azide. Above is an awned, white-glumed, early maturing, and semidwarf hard red winter wheat. Above is early maturing (138.5 days to heading from Jan. 1), about 1.5 days later than 'TAM 107', similar to TAM 110, 3.5 days earlier than 'Akron', and 7 days earlier than 'Prowers 99'. Plant height of Above is short (27.5 inches), similar to TAM 107 and TAM 110, about 0.7 inches shorter than Akron, and 4 inches shorter than Prowers 99. The straw strength of Above is good, similar to TAM 107.","Awned, white-glumed, early maturing, and semidwarf hard red winter wheat","1996","Seed - Self pollination","Cereals","Direct development of an induced mutant","Breeder seed of Above will be maintained by the Colorado Agricultural Experiment Station. Above is protected by the U.S. Plant Variety Protection Act (PVPA).","","","Sodium Azide","","North America"
"1458","AC Hensall","","1997","CV-141, PI 595380","","","","Phaseolus vulgaris L.","Common bean","Canada","The mutant variety AC Hensall was officialy approved in 1997. It was developed by cross with mutant variety OAC Seaforth obtained by hybridization with mutant variety Seafarer. Seafarer was obtained by irradiation of seeds with x-rays. Main improved attribute of variety is early maturity.","","Early maturity","1997","Seed - Self pollination","Legume and Pulses","Crossing with one mutant","","Physical","X-rays","","Seed","North America"
"2271","AC Ronald","","2000","","","","","Avena sativa L.","Oat","Canada","The mutant variety AC Ronald was officialy approved in 2000. It was developed by treatment with fast neutrons (11.5 Gy). Treatment of OT184 with fast neutrons produced OT207, a semi-dwarf line with the gene DW-6.","Treatment of OT184 with 11,5 Gy of fast neutrons produced OT207, a semi-dwarf line with the gene DW-6.  For OT207, please ref. Brown PD et al, Crop Sci, 20: 303-306","","2000","Seed - Self pollination","Cereals","Crossing with one mutant","","Physical","Neutrons - fast neutrons","","","North America"
"1457","AC Skipper","","1996","CV-130, PI 590540","","","","Phaseolus vulgaris L.","Common bean","Canada","The mutant variety AC Skipper was officialy approved in 1996. It was developed by cross with two mutant varieties Kentwood and Swan Valley. Swan Valley was obtained by treatment with 0.04M EMS for a period of 6 hours. Main improved attributes of variety are white seed color and early maturity.","","White seed color and early maturity","1996","Seed - Self pollination","Legume and Pulses","Crossing of two mutants","","Chemical","","Ethyl Methanesulfonate","","North America"
"536","AC-Albright","","1993","","","","","Hordeum vulgare L.","Barley","Canada","The mutant variety AC-Albright was officialy approved in 1993. It was developed by hybridization with two mutant varieties Opal and Hana. Mutant varieties Opal and Hana were obtained by irradiation of seeds with x-rays (100 Gy). Main improved attributes of mutant variety are resistence to diseases and stiffness.","","Resistance to diseases and stiffness","1993","Seed - Self pollination","Fodder","Crossing of two mutants","","Physical","X-rays","","Seed","North America"
"537","AC-Stacey","","1995","","","","","Hordeum vulgare L.","Barley","Canada","The mutant variety AC-Stacey was officialy approved in 1995. It was developed by hybridization with mutant variety Opal obtained by iradiation of seeds with x-rays (100 Gy). Main improved attribute of mutant variety is early maturity.","","Early maturity","1995","Seed - Self pollination","Fodder","Crossing with one mutant","","Physical","X-rays","","Seed","North America"
"4968","Acalypha ‘Excitation’","","","","","","National Seed Industry Council, Manila, Philippines","Acalypha L.","Miniature copperleaf","Philippines","","Mutagen source(s): Cobalt-60 Mutagen doses(s) and/or concentration(s): 20 Gy Year of mutagenic treatment: 2006","Leaf size, Leaf shape, Leaf color","2022","Vegetative - Air layering and Stem cutting","","Direct development of an induced mutant","","Physical","Gamma rays - Cobalt⁶⁰","","Seed","Asia"
"95","Accent","","1982","","","","","Dianthus caryophyllus L.","Carnation","Netherlands","The mutant variety Accent was officialy approved in 1982. It was developed by irradiation of unrooted cuttings (base shilded) with x-rays. Main improved attributes of mutant variety are heavier purple stripes and higher yield than original variety.","","Heavier purple stripes and higher yield than original variety","1982","","Flowers","Direct development of an induced mutant","","Physical","X-rays","","Vegetative propagates","Europe"
"487","Acclaim","","1984","","","","","Hordeum vulgare L.","Barley","Germany","The mutant variety Acclaim was officialy approved in 1984. It was developed by hybridization with mutant variety Trumpf obtained by irradiation of seeds with x-rays (100 Gy). Main improved attributes of mutant variety are high yield, resistance to lodging, resistance to diseases and malting quality.","","High yield, resistance to lodging, resistance to diseases and malting quality","1984","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","X-rays","","","Europe"
"1348","Accord","","1987","","","","","Hordeum vulgare L.","Barley","Russian Federation","The mutant variety Accord was officialy approved in 1987. It was developed by hybridization with early mutant 12/70 induced by treatment of seeds with ethylene imine (EI). It is a winter type, six-rowed. Main improved attributes of the mutant variety are early maturity, high yield and frost resistance.","","Early maturity, high yield and frost resistance","1987","Seed - Self pollination","Cereals","Crossing with one mutant","","Chemical","","Ethylene Imine","Seed","Europe"
"1837","Adagio","","1970","","","","","Dahlia Cav.","Dahlia","France","The mutant variety Adagio was officially approved in 1970. It was developed by irradiation of dormant tubers with gamma rays (20-30 Gy). Main improved attribute of mutant variety is orange flower color.","","Orange flower color","1970","","Flowers","Direct development of an induced mutant","","Physical","Gamma rays","","Vegetative propagates","Europe"
"1749","Adinda","","1972","","","","","Rhododendron L.","Azalea","Belgium","The mutant variety Adinda was officially approved in 1972. It was developed by recurrent irradiation of vegetative propagates with gamma and x-rays (25 Gy) Main improved attribute of mutant variety is flower color change from blue-red towards yellow-red.","","Changed flower color from blue-red towards yellow-red","1972","Vegetative - Cuttings","Ornamental trees","Direct development of an induced mutant","","Physical","Gamma and X-rays - recurrent","","Vegetative propagates","Europe"
"2876","ADT-41","","1994","","","","","Oryza sativa L.","Rice","India","The mutant variety ADT-41 was officialy approved in 1994. It was developed by irradiation with gamma rays. Main improved attributes of mutant variety are semi-dwarfness (95-105 cm), large grains, mild aroma, high yield, but susceptible to major pest and disease.","A selection from dwarf mutant of Basmati-370 with evaluation no. JJ-92 was registred as ADT-41 for Tamil Nadu State. Semi dwarf (95-105 cm), grains: extra LS, mild aroma susceptible to major pest & disease of rice; Yield: 47 Q/ha, maturity: 105-115 days, Suitable for irrigated areas.","Semi-dwarfness (95-105 cm), large grains, mild aroma, high yield, but susceptible to major pest and disease","1994","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"1306","Advance","","1979","","","","","Hordeum vulgare L.","Barley","United States","The mutant variety Advance was officialy approved in 1979. It was developed by reselection from cross [(Foma x Triple Bearded Mariout) x White Winter) x Blazer]. Mutant variety Blazer was obtained by treatment of seeds with thermal neutrons. Main improved attributes of mutant variety are higher yield (11-14%), shorter stem, six rowed spring barley.","","Higher yield (11-14%), shorter stem, six rowed spring barley","1979","Seed - Self pollination","Cereals","Crossing with one mutant","","Physical","Neutrons - thermal neutrons","","Seed","North America"
"182","Aelita","","1978","","","","","Fagopyrum esculentum Moench","Buckwheat","Russian Federation","The mutant variety Aelita was officialy approved in 1978. It was developed by irradiation of seeds with gamma rays. Main improved attributes of mutant variety are higher yield and more branches.","","Higher yield and more branches","1978","Seed - Open-pollinating","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","Others","Europe"
"2257","AEM-96","","1998","","","","","Vigna radiata (L.) R.Wilczek","Mungbean","Pakistan","","","","1998","Seed - Self pollination","Legume and Pulses","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"412","Aga","","1981","","","","","Lupinus luteus L.","Yellow lupine","Poland","The mutant variety Aga was officialy approved in 1980. It was developed by treatment of hybrid seeds with x-rays. Main improved attributes of mutant variety are early maturity, high yield potential and resistance to Fusarium. Yellow lupin mutant variety can be used for grain yield and green fodder.","","Early maturity, high yield potential and resistance to Fusarium. Yellow lupin mutant variety can be used for grain yield and green fodder.","1981","Seed - Self pollination","Legume and Pulses","Mutagenic treatment of breeding material (F1, F2, seeds, ect)","","Physical","X-rays","","Seed","Europe"
"358","Agdash 3","","1983","","","","","Gossypium L.","Cotton","Russian Federation","The mutant variety Agdash 3 was officialy approved in 1983. It was developed by irradiation with gamma rays (200 Gy). Main improved attribute of mutant variety is high yield.","","High yield","1983","Seed - Self pollination","Fibre crop","Direct development of an induced mutant","","Physical","Gamma rays","","","Europe"
"1960","Agnisikha","","1987","","","","","Chrysanthemum L.","Chrysanthemum","India","The mutant variety Agnisikha was officialy approved in 1987. It was developed by irradiation of cuttings with gamma rays (15-25 Gy). Main improved attributes of mutant variety are flower color changed to erythrite red from magnolia purple.","","Changed flower color to erythrite red from magnolia purple","1987","Vegetative - Suckers","Flowers","Direct development of an induced mutant","","Physical","Gamma rays","","Vegetative propagates","Asia"
"420","Agra","","1990","","","","","Lathyrus oleraceus Lam.","Pea","Poland","The mutant variety Agra was officialy approved in 1990. It was developed by hybridization with mutant Sum obtained by irradiation with gamma rays (500 Gy). Main improved attributes of mutant variety are high seed yield and resistance to lodging.","","High seed yield and resistance to lodging","1994","Seed - Self pollination","Legume and Pulses","Crossing with one mutant","","Physical","Gamma rays","","Seed","Europe"
"1688","Agrani","","1991","","","","","Brassica juncea (L.) Czern.","Oriental mustard","Bangladesh","The mutant variety Agrani is also a high yielding yellow seeded mustard variety, released in 1991. It was developed by irradiation with gamma rays (700 Gy). It matures a week earlier than Safal. Pod and seed size are bigger than Safal. Like Safal, this variety is also tolerant to Alternaria disease. Aphid infestation is lower due to thick pod coat. Seed yield potential is up to 2.5 tons/ha (av. 1.75 tons/ha). Seed contains 44% oil.","","Early maturity, bigger pod and seed size, tolerant to Alternaria disease, high yield and high oil content (44%)","1991","Seed - Self pollination","Edible oil plants","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"3068","Aichi-no-kaori SBL","","1999","","","10968","Ministry of Agriculture, Forestry and Fisheries (MAFF)","Oryza sativa L.","Rice","Japan","The mutant variety Aichi-no-kaori SBL was officially approved in 2003. It was developed by hybridization with mutant variety Aichinokaori induced by irradiation of seeds with gamma rays (200 Gy). Main improved attributes of mutant variety are high resistance to rice stripe disease and panicle blast and moderately resistance to bacterial leaf blight.","A new rice variety Aichinokaori SBL was developed in 2000. The pedigree in breeding of this variety and its characteristics are summarized as follows; 1. The breeding of Aichinokaori SBL was started in 1987 by crossing of Aichi78 (later named Aoinokaze) and Aichinokaori at Aichi Agricultural Research Center. The B2F2 population obtained from the twice backcrosses by Aichinokaori, were bioassayed on rice stripe disease, then resistant B2F3 plants were used for the paternal parent in the last backcross to Aichinokaori in 1991. B3F1 and B3F2 populations were accelerated generation advancement in the greenhouse in the same year. The individual selection was performed on B3F3 population planted on the paddy field in 1992, since then the pedigree method had been applied for the breeding work. 2. Aichinokaori SBL is a near isogenic line of Aichinokaori, screened for rice stripe disease and panicle blast resistance. It has the same heading date, maturing time, plant type, thousand kernel weight, apparent grain quality, eating quality and yielding ability as that of Aichinokaori. 3. This variety shows extremely high resistance to rice stripe disease and panicle blast, and moderately resistance to bacterial leaf blight. 4. This variety will be well adapted to cultivation on the fertile or semi-fertile paddy fields in the plain regions of central Japan.","High resistance to rice stripe disease and panicle blast and moderately resistance to bacterial leaf blight","2003","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays","","Seed","Asia"
"1151","Aichinokaori","Ine","1987","","","1802","Ministry of Agriculture, Forestry and Fisheries (MAFF)","Oryza sativa L.","Rice","Japan","The mutant variety Aichinokaori was officialy approved in 1988. It was developed by hybridization with mutant variety Mineasahi obtained by irradiation of seeds with gamma rays (200 Gy). Main improved attributes of mutant variety are good taste, large grain size and high yield.","","Good taste, large grain size and high yield","1988","Seed - Self pollination","Cereals","Crossing with one mutant","","Physical","Gamma rays","","Seed","Asia"
"1628","Aida","","1984","","","","","Glycine max (L.) Merr.","Soybean","Slovakia","The mutant variety Aida was officialy approved in 1984. It was developed by treatment of seeds with chemical mutagen EMS. Main improved attributes of mutant variety are early maturity (18 days earlier), high yield, change of plant architecture from bushy to stem type, resistance to lodging, better resistance to diseases, higher protein content.","","Early maturity (18 days earlier), high yield, change of plant architecture from bushy to stem type, resistance to lodging, better resistance to diseases, higher protein content","1984","Seed - Self pollination","Legume and Pulses","Direct development of an induced mutant","","Chemical","","Ethyl Methanesulfonate","Seed","Europe"
"541","Aifu 9","","1966","","","","","Oryza sativa L.","Rice","China","The mutant variety Aifu 9 was officially approved in 1966. It was developed by irradiation with gamma rays (300 Gy). Main improved attributes of mutant variety are short culm, resistance to blast, higher yield.","","Short culm, resistance to blast and higher yield","1966","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Asia"
"736","Ailiutiaohong","","1989","","","","","Oryza sativa L.","Rice","China","The mutant variety Ailiutiaohong was officialy approved in 1989. It was developed by irradiation of seeds with gamma rays. Main improved attributes of mutant variety are dwarfness (88 cm), resistance to Pyricularia oryzae, resistance to insects and low temperatures, high yield.","","Dwarfness (88 cm), high yield, resistance to Pyricularia oryzae, resistance to insects and low temperatures","1989","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","Seed","Asia"
"2456","Akane-fuji","","1994","","","5307","Ministry of Agriculture, Forestry and Fisheries (MAFF)","Oryza sativa L.","Rice","Japan","The mutant variety Akane-fuji was officialy approved in 1997. It was developed by treatment with chemical mutagen EMS. Main improved attribute of mutant variety is low amylose content.","","Low amylose content","1997","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Chemical","","Ethyl Methanesulfonate","","Asia"
"1269","Akdeniz M-Q-54","","1998","","","","","Hordeum vulgare L.","Barley","Türkiye","The mutant variety Akdeniz M-Q-54 was officialy approved in 1998. It was developed by irradiation with gamma rays (150 Gy). Main improved attributes of mutant variety are resistance to low temperature, resistance to drought and larger seed size.","","Resistance to low temperature, resistance to drought and larger seed size","1998","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","","Europe"
"3129","Akebono-mochi","","2000","","","8363","Ministry of Agriculture, Forestry and Fisheries (MAFF)","Triticum aestivum L.","Wheat","Japan","The mutant variety Akebono-mochi was officially approved in 2000. It was developed by hybridization with mutant obtained by chemical treatmant with EMS. Main improved attributes of mutant variety are amylose free, lower pasting temperature, higher peak viscosity, and higher breakdown than for nonwaxy wheat.","Two waxy (glutinous) wheat cultivars, ""Akebono-mochi"" and ""Ibuki-mochi,"" were developed by cross-combination between ""Saikai 168"" (Kinuiroha) and ""Tanikei-A6099"" using haploid breeding method. Endosperm starch of these cultivars is amylose-free and starch paste viscosity measured by a Rapid Visco Analyser showed lower pasting temperature, higher peak viscosity, and higher breakdown than for nonwaxy wheat. Because both parents, ""Saikai 168"" and ""Tanikei A6099,"" have a Wx-D1 waxy protein, we discuss way for segregating waxy lines from this combination. (author abst.)","Amylose free, lower pasting temperature, higher peak viscosity, and higher breakdown than for nonwaxy wheat","2000","Seed - Self pollination","Cereals","Crossing with one mutant","","Chemical","","Ethyl Methanesulfonate","","Asia"
